actual_update_rate_hz,aoi_p50_s,aoi_p95_s,contract_at_risk_fraction,contract_observable_fraction,contract_qualified_fraction,contract_sample_count,contract_unobservable_fraction,contract_withdrawn_fraction,duration_s,economy_fraction,gps_agreement_p95_m,gps_heading_agreement_p95_deg,gps_valid_fraction,high_fraction,latency_p50_ms,latency_p95_ms,log_file,normal_fraction,packet_loss_total,payload_bytes_per_s,payload_bytes_total,physical_condition,policy,queue_depth_max,queue_depth_mean,queue_depth_p95,records,request_count,requested_update_rate_mean_hz,requested_update_rate_p95_hz,run_label,stale_count,stale_fraction,trial,wireless_condition
1.513494404489664,0.03674650192260742,0.2172852277755738,0.0,0.1721014492753623,0.0036231884057971015,552,0.8278985507246377,0.16847826086956522,90.51900000000006,0.5797101449275363,6.492217606551977,138.53506230874925,1.0,0.0,607.8536510467529,780.5638551712036,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial1_20260916_111257.jsonl,0.42028985507246375,1,921.9832300401015,83457.0,smooth_floor_mixed_motion,aoi-only,0.0,0.0,0.0,138,138,3.260869565217391,5.0,smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial1,1,0.007246376811594203,1,wifi_baseline
1.482880963103725,0.05201375484466553,0.2423410415649414,0.0,0.22977941176470587,0.0,544,0.7702205882352942,0.22977941176470587,91.03899999999999,0.375,1.7417636005105173,,1.0,0.0,619.0463304519653,808.922529220581,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial2_20260916_111522.jsonl,0.625,0,914.212590208592,83229.0,smooth_floor_mixed_motion,aoi-only,0.0,0.0,0.0,136,136,3.875,5.0,smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial2,1,0.007352941176470588,2,wifi_baseline
1.5317621829799335,0.13167452812194824,0.14653420448303223,0.0,0.21099290780141844,0.0,564,0.7890070921985816,0.21099290780141844,91.39800000000002,0.8794326241134752,7.093756535975269,44.20879549999999,1.0,0.0,686.5811347961426,722.2201824188232,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial3_20260916_111729.jsonl,0.12056737588652482,0,949.1126720497164,86747.0,smooth_floor_mixed_motion,aoi-only,0.0,0.0,0.0,141,141,2.3617021276595747,5.0,smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial3,1,0.0070921985815602835,3,wifi_baseline
1.530668428587161,0.1343214511871338,0.15335257053375242,0.0,0.15892857142857142,0.0035714285714285713,560,0.8410714285714286,0.15535714285714286,90.80999999999995,0.9428571428571428,2.210374424404343,157.78819926367322,1.0,0.0,686.0823631286621,719.1647052764893,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial4_20260916_111933.jsonl,0.05714285714285714,0,949.7412179275416,86246.0,smooth_floor_mixed_motion,aoi-only,0.0,0.0,0.0,140,140,2.1714285714285713,5.0,smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial4,1,0.007142857142857143,4,wifi_baseline
1.534605915408989,0.1340775489807129,0.1476217150688171,0.0,0.23392857142857143,0.007142857142857143,560,0.7660714285714286,0.22678571428571428,90.577,0.9428571428571428,2.1965266509121486,173.54639414412486,1.0,0.0,686.639666557312,717.2574281692505,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial5_20260916_112136.jsonl,0.05714285714285714,0,951.4667078838999,86181.0,smooth_floor_mixed_motion,aoi-only,0.0,0.0,0.0,140,140,2.1714285714285713,5.0,smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial5,1,0.007142857142857143,5,wifi_baseline
1.5298092691033558,0.1337343454360962,0.14507534503936767,0.0,0.21071428571428572,0.0,560,0.7892857142857143,0.21071428571428572,90.86099999999999,0.0,1.8986854081195828,0.0,1.0,0.8428571428571429,686.5139007568359,722.5585699081421,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial1_20260916_112359.jsonl,0.15714285714285714,0,948.6578399973587,86196.0,smooth_floor_mixed_motion,contract-aware,0.0,0.0,0.0,140,140,9.214285714285714,10.0,smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial1,1,0.007142857142857143,1,wifi_baseline
1.5233301321323327,0.13440179824829102,0.15051913261413574,0.0,0.19784172661870503,0.0035971223021582736,556,0.802158273381295,0.19424460431654678,90.5909999999999,0.0,2.057227179530062,49.58217556191928,1.0,0.8345323741007195,688.0147457122803,717.1594858169556,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial2_20260916_112604.jsonl,0.16546762589928057,0,950.9112384232441,86144.0,smooth_floor_mixed_motion,contract-aware,0.0,0.0,0.0,139,139,9.172661870503598,10.0,smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial2,1,0.007194244604316547,2,wifi_baseline
1.5205271160669025,0.13326454162597656,0.14441449642181398,0.0,0.11330935251798561,0.0035971223021582736,556,0.8866906474820144,0.10971223021582734,90.75800000000004,0.0,1.858949439614791,148.84140156012234,1.0,0.37410071942446044,690.6311511993408,720.8016872406006,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial3_20260916_112810.jsonl,0.6258992805755396,0,948.1698583045016,86054.0,smooth_floor_mixed_motion,contract-aware,0.0,0.0,0.0,139,139,6.870503597122302,10.0,smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial3,1,0.007194244604316547,3,wifi_baseline
1.5162335878701334,0.1345043182373047,0.14911227226257323,0.0,0.17086330935251798,0.0,556,0.829136690647482,0.17086330935251798,91.01499999999987,0.0,2.955622041809692,0.02491000000002425,1.0,0.7266187050359713,690.363883972168,717.4659729003906,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial4_20260916_113017.jsonl,0.2733812949640288,0,949.1402516068794,86386.0,smooth_floor_mixed_motion,contract-aware,0.0,0.0,0.0,139,139,8.633093525179856,10.0,smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial4,1,0.007194244604316547,4,wifi_baseline
1.5127256666482627,0.13410687446594238,0.1490312933921814,0.0036231884057971015,0.20652173913043478,0.0,552,0.7934782608695652,0.2028985507246377,90.56500000000005,0.0,2.289966398735714,168.55066081977998,1.0,0.8333333333333334,688.6875629425049,719.3244338035583,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial5_20260916_113221.jsonl,0.16666666666666666,0,946.6570971125705,85734.0,smooth_floor_mixed_motion,contract-aware,0.0,0.0,0.0,138,138,9.166666666666666,10.0,smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial5,1,0.007246376811594203,5,wifi_baseline
