sequence,n_seeds,duration_s,duration_s_seed_sd,n_samples,n_samples_seed_sd,ATE_m,ATE_m_seed_sd,heading_MAE_deg,heading_MAE_deg_seed_sd,RPE1_m,RPE1_m_seed_sd,RPE5_m,RPE5_m_seed_sd,RPE10_m,RPE10_m_seed_sd,Dp_p95_m,Dp_p95_m_seed_sd,Dp_max_m,Dp_max_m_seed_sd,Dtheta_p95_deg,Dtheta_p95_deg_seed_sd,Dtheta_max_deg,Dtheta_max_deg_seed_sd,persistent_signed_yaw_residual_radps,persistent_signed_yaw_residual_radps_seed_sd,persistent_abs_yaw_residual_deg_per_min,persistent_abs_yaw_residual_deg_per_min_seed_sd,Iomega_final_deg,Iomega_final_deg_seed_sd,Iomega_p95_abs_deg,Iomega_p95_abs_deg_seed_sd,Iomega_max_abs_deg,Iomega_max_abs_deg_seed_sd,prediction_speed_residual_signed_mean_mps,prediction_speed_residual_signed_mean_mps_seed_sd,prediction_speed_residual_rmse_mps,prediction_speed_residual_rmse_mps_seed_sd,prediction_speed_residual_p95_abs_mps,prediction_speed_residual_p95_abs_mps_seed_sd,prediction_yaw_residual_p95_abs_radps,prediction_yaw_residual_p95_abs_radps_seed_sd,speed_mean_mps,speed_mean_mps_seed_sd,speed_abs_mean_mps,speed_abs_mean_mps_seed_sd,speed_p95_abs_mps,speed_p95_abs_mps_seed_sd,accel_abs_mean_mps2,accel_abs_mean_mps2_seed_sd,accel_p95_abs_mps2,accel_p95_abs_mps2_seed_sd,wheel_imu_yaw_disagreement_signed_mean_radps,wheel_imu_yaw_disagreement_signed_mean_radps_seed_sd,wheel_imu_yaw_disagreement_abs_mean_radps,wheel_imu_yaw_disagreement_abs_mean_radps_seed_sd,wheel_imu_yaw_disagreement_rms_radps,wheel_imu_yaw_disagreement_rms_radps_seed_sd,wheel_imu_yaw_disagreement_p95_abs_radps,wheel_imu_yaw_disagreement_p95_abs_radps_seed_sd,normalized_yaw_disagreement_abs_mean,normalized_yaw_disagreement_abs_mean_seed_sd,curvature_abs_mean_radpm,curvature_abs_mean_radpm_seed_sd,curvature_p95_abs_radpm,curvature_p95_abs_radpm_seed_sd,turning_intensity_abs_imu_yaw_mean_radps,turning_intensity_abs_imu_yaw_mean_radps_seed_sd,wheel_odo_forward_residual_abs_mean_mps,wheel_odo_forward_residual_abs_mean_mps_seed_sd,sensor_yaw_residual_signed_mean_radps,sensor_yaw_residual_signed_mean_radps_seed_sd,sensor_yaw_residual_p95_abs_radps,sensor_yaw_residual_p95_abs_radps_seed_sd,low_RPE10_high_Dp_p95_median_split
building00,3,1200.7999999999993,0.0,12009.0,0.0,1.8689628976757267,0.08322229092702518,0.675393810950364,0.07187232926090756,0.12656482362501761,0.009974621355319312,0.3150781804151357,0.01857889516575371,0.4837512811271149,0.03236635209260504,3.5696561606868613,0.3929725673491034,4.077147718636371,0.25201609784620915,1.9612152823345133,0.25008852036216295,3.432005959941075,0.5256435560031049,-0.0003408478731959231,0.00020638380692208197,1.171748675408199,0.7094952657886897,-23.45254973838038,14.200547744812202,23.507074274470842,13.653886942577032,24.665910611811892,13.679821530176486,-0.00039689706468921986,0.0012372236623055053,0.05547754369485586,0.00018952920490136624,0.10878493227064605,0.000260443692290533,0.0732508673022191,0.0001914566319551354,1.413725785128305,0.0,1.4137456316310777,0.0,1.7133778674252715,0.0,0.2746421199968884,0.0,0.7220282597500883,0.0,-0.005542523514856339,0.0,0.0330151842053783,0.0,0.052312377143575235,0.0,0.09718888990051756,0.0,0.31245732916367397,0.0,0.057794446656412236,0.0,0.2935609997106626,0.0,0.07464556609699152,0.0,0.00036893139461780357,0.0,0.0001451308225348508,0.0,0.09263138988679749,1.6996749443881478e-17,False
building01,3,1368.7999999999993,0.0,13689.0,0.0,1.5138345453335325,0.014580526637794263,0.7319741424155918,0.02370679383630179,0.09149760319849846,0.002816436314784735,0.2418513478701122,0.01172767758000598,0.3775039649859362,0.017500852704539414,1.9605837170016198,0.10168233279046739,4.3080487834389185,0.34057489628907917,2.544735863587972,0.07299156688007577,4.613656927271215,0.3267464604295854,0.00016483383527472872,2.6395342143073154e-05,0.5666569849317954,0.09074050221611338,12.928279111265951,2.0702445580681457,11.608186455468678,2.0532347147770276,13.215657150616787,2.1441700439742855,-0.002088562401354271,0.0027462103527478043,0.06098585979293287,0.0003769352152743928,0.09812310573955363,0.0006363893157955004,0.05939037414888535,0.00031186654523011155,1.27992639073386,0.0,1.281860325769867,0.0,1.6945426462354494,0.0,0.30570863776052476,0.0,0.7903687304928928,0.0,-0.005213317109876009,1.0622968402425924e-18,0.030888461909337254,0.0,0.06039876718753914,0.0,0.08811735298721544,0.0,0.27778767921719794,0.0,0.07659660765487897,0.0,0.3455624957577917,6.798699777552591e-17,0.08555356999683955,0.0,0.00037661209053741737,0.0,0.0005902310514892142,0.0,0.07842197342794317,0.0,False
building02,3,1871.3000000000175,0.0,18714.0,0.0,1.663163632178012,0.04420683462192021,0.7429541910530636,0.16392326102416369,0.11863731374694059,0.004619596449031456,0.29407236792363234,0.021729995168153646,0.4603736353399199,0.02974688853009028,4.735172000738296,0.36131659520571263,5.535060437907407,0.20680137841296237,2.8385283330095543,0.6713446741240823,5.4446993769513155,0.5257768172098919,5.5689729832392636e-05,0.00010247523926240832,0.2767833267990636,0.25331499465977286,5.971237822051048,10.98773555463546,9.104656252843718,3.0967870794008996,11.869944008736153,5.246645321900726,-0.001941761407855357,0.006032633507987778,0.04791541141185004,0.00035900445527885217,0.09484314586346339,0.0005504311491998306,0.07410589642822735,0.0002036068608422373,1.3674588573957573,0.0,1.3675125858935162,0.0,1.7696123072549905,2.7194799110210365e-16,0.3181240109840608,0.0,0.8274170550306401,0.0,-0.0062978037299304375,0.0,0.03251621539088235,0.0,0.05468133741174861,8.498374721940739e-18,0.10712499151612241,0.0,0.3117284266463068,0.0,0.040672198655471635,0.0,0.21832636772199876,0.0,0.05421382192101142,0.0,0.0003356194708277344,6.639355251516202e-20,0.00040706823402288393,0.0,0.09314879236847488,0.0,False
parking00,3,1140.7999999999884,0.0,11409.0,0.0,2.1068050546959642,0.11517233967298232,0.6135520738788259,0.0791794053803857,0.13221141011124501,0.03330578120138389,0.3180317860490944,0.07184205759399,0.45302730901660354,0.10129454191430605,3.08575541036265,0.3638535209869488,5.262065963929077,1.249533217731503,2.3951082048633237,0.66982504472688,4.449006686814728,0.4976606771490162,-0.00026946506711067545,8.81744690647968e-05,0.9263526642990715,0.3031214962931817,-17.61459591267216,5.763855252350353,16.5501001716818,5.209000050921765,18.25247318817162,5.448389794785759,0.0016191400970308799,0.0033798825688182597,0.06001132424997932,9.863438838868886e-05,0.09393456741236146,0.0008681739815454572,0.05924258784701431,0.0001971318911293236,1.405814213097378,2.7194799110210365e-16,1.4058378308166442,0.0,1.6864418671843964,0.0,0.36772489829314275,6.798699777552591e-17,0.8773512509135011,0.0,-0.006545163360441953,0.0,0.03561180713830243,0.0,0.0758533659600301,0.0,0.10747574052761705,0.0,0.3011515579157526,0.0,0.05326745136271848,0.0,0.2635485016336505,0.0,0.07365791531875504,0.0,0.00038465040430751525,0.0,0.000406737040690428,0.0,0.07815371129349914,0.0,False
parking01,3,1059.7999999999884,0.0,10599.0,0.0,4.071047086397852,2.154796761799074,4.910776338575262,3.0525103211137328,0.022713253528946178,0.0007017718374111588,0.08150325481298556,0.004591971900659886,0.15366645476655766,0.010986997698081983,7.762674126810559,4.601371532660503,8.730770963832187,5.119765197269457,8.131906512287138,4.857613743999224,9.107809440619837,4.967206788909278,0.00013217242329733933,9.574730036385592e-05,0.4543753213772483,0.32915497263722127,8.02654005259629,5.814522591974954,8.004525302340728,4.789510930584725,8.934297250810012,4.912331180922551,-0.003233915402732506,0.0042850011453303295,0.05784431634258389,0.0005041015847450904,0.06835584005651373,0.0010921005783160733,0.05497269009550418,0.0008423139983709261,1.172120649515098,0.0,1.1721437915106758,0.0,1.458250621758569,2.7194799110210365e-16,0.3410182913127031,0.0,0.8662134580069356,0.0,-0.005989919573003394,1.0622968402425924e-18,0.02945541731586897,4.2491873609703695e-18,0.06247240970172585,0.0,0.09162575886261971,0.0,0.28556381300688305,0.0,0.06764348619847928,0.0,0.35466873478714617,6.798699777552591e-17,0.07274373757235253,0.0,0.00037220675348604903,0.0,0.0007447162357809571,0.0,0.07375721987077773,0.0,True
parking02,3,1256.7999999999884,0.0,12569.0,0.0,11.350360762519498,3.9333654247103165,16.719753184745475,5.889785899211366,0.019314332520235223,0.0006439156880880866,0.05496958246534898,0.004996211468391087,0.09713907612215612,0.012027896022761208,22.344767075273904,7.1823675986240705,25.561697920933792,8.367032209338399,30.415317331820642,11.185117054259047,32.83631425312518,11.661089120064949,0.00044217520377217947,0.0001624171162125282,1.5200863788889827,0.558348916779821,31.843276162279505,11.696479225690073,30.294859799010794,11.21052280578054,32.318481043967346,11.541327966256047,0.0007069127507197249,0.005214894602855199,0.05451730057750546,0.0009374122529970465,0.0627175556146538,0.0016457316452750236,0.050409228851397696,0.0008631990677891593,1.164112195422997,0.0,1.1641606670530733,0.0,1.472297877741102,0.0,0.3282934902728626,0.0,0.8635480511216634,1.3597399555105182e-16,-0.004819304663006876,0.0,0.02776233045678489,0.0,0.05519755268653787,0.0,0.08547413105362704,0.0,0.27247335002376644,0.0,0.06291525885701818,0.0,0.30972399560603825,0.0,0.07072102514584282,0.0,0.0003036495364052424,0.0,0.0010008593198081624,0.0,0.06908367255603162,0.0,True
playground00,3,1326.2000000000407,0.0,13263.0,0.0,0.2422070374892206,0.0002556321879188219,0.23340054481412387,0.030548991995430146,0.013479552296369157,0.00042518441729213824,0.043071157399399713,0.0029875127755931846,0.08039775039853331,0.0061118654686611335,0.3756268799994445,0.0042453184626729985,0.4312201035191851,0.007416041689049004,0.5082774049477751,0.03481347933610023,1.209228056334945,0.0016351544497103744,-5.616172826718416e-05,0.00011508717245862501,0.30433096192341913,0.27114455381763153,-4.267807929076284,8.745634479359259,7.330430261810579,5.826834280892643,8.440104715168715,5.777300463078888,-0.006895494682400784,0.0018483264196287662,0.041017025337279724,0.0007778097454995385,0.08069949929292003,0.0018332497887532202,0.05895579696322481,0.0007826985926950803,1.313512323896674,0.0,1.3135328734310314,0.0,1.5940018985597144,0.0,0.2538273766465511,0.0,0.6973175784323172,0.0,-0.0056115728268684275,1.0622968402425924e-18,0.02746053185526685,4.2491873609703695e-18,0.0418542885176054,8.498374721940739e-18,0.08002249315982526,0.0,0.31871404123645347,0.0,0.03698836069621366,0.0,0.18740791551009686,0.0,0.04787394352438545,0.0,0.00024466213814388,0.0,0.00016972161124314265,0.0,0.0773603272610831,0.0,False
street00,3,1373.699999999997,0.0,13738.0,0.0,0.2988571165738128,0.0007296104758132381,0.22524068477176673,0.010199781970181582,0.017111717756141398,0.00018836295103160045,0.05881463955377972,0.0009998931954271451,0.100245751000357,0.0023977559014303883,0.5178628801554773,0.0027759252795916435,0.5889705443514197,0.0018650177175529253,0.6253211252375631,0.00627695726298551,1.476461061180932,0.10860932838581223,-0.00044091768627538296,0.00016207846611627285,1.515763352175165,0.5571847235049932,-34.70592822232427,12.757672886595346,32.443968190299515,11.813692017209078,34.7063715422057,12.75690706006972,0.002285626156687037,0.0014110943370413487,0.02933917271897703,0.0001843324769840132,0.05636753039725586,0.00042332197578368063,0.02913593555955833,0.001154228617071305,1.2316260668829377,0.0,1.2316694054799524,0.0,1.490013141314331,2.7194799110210365e-16,0.17995004979983883,0.0,0.49342011096197497,0.0,-0.003625606551552699,0.0,0.013896847220853943,0.0,0.019676480213805084,0.0,0.03886423685238487,0.0,0.216444442073171,0.0,0.0406402157121165,0.0,0.20117682682213556,0.0,0.04897551955440971,0.0,0.00013748713968181664,0.0,0.00014093915606724184,0.0,0.04674609083447719,0.0,False
street01,3,1248.199999999997,0.0,12483.0,0.0,0.4003666647357069,0.0005732661131893998,0.3343353357416579,0.03324829020384907,0.03729068612498554,0.0008962159781365131,0.10074278536475208,0.001922889209562907,0.1659571748486063,0.004410261699101121,0.7608475445672109,0.003878903787421254,0.9072669431108249,0.01593037782979791,0.7844750374569776,0.06437569209726132,3.1786734906916254,0.19157099162334817,-0.00019525550946750277,0.00011072787314243079,0.6712389971498759,0.38065438833127585,-13.965127336516003,7.919514549693107,13.812912103819047,6.490339003896594,16.915878656302137,6.629165371714934,0.0014375214916536305,0.0014216971627163684,0.03505198285507097,0.00043169255371200866,0.06631723614409558,0.0007753229477139576,0.12274326899399357,0.0005471475453565416,1.3491680609857444,0.0,1.3492273115090956,2.7194799110210365e-16,1.7988330224302846,2.7194799110210365e-16,0.34094509282734037,6.798699777552591e-17,0.8954467812143142,0.0,-0.00632145784856129,0.0,0.034054600454486765,0.0,0.06014539659313108,0.0,0.11346523500267698,1.6996749443881478e-17,0.36031191907017956,0.0,0.037657290375545306,0.0,0.2526455378931021,0.0,0.05275656419513802,0.0,0.00044065440052444435,0.0,0.00044717943674472336,0.0,0.1396545948938008,0.0,False
street02,3,1379.7999999999884,0.0,13799.0,0.0,0.46378875654867163,0.009085617758744873,0.50196879442789,0.029514413612046046,0.03266529759440699,0.0009434109561109032,0.09477542602171078,0.002648568641174364,0.16041065643334976,0.0056557153477412875,0.8523538609988107,0.0022144173953517533,0.9555345312607111,0.0013751023336473567,1.1128801333290845,0.03978790465216275,3.64220475983117,0.7037219603628567,0.00027685758110815637,0.00011606721295057337,0.951766255421894,0.3990096865148414,21.889037598885306,9.176557774231265,20.121716563657273,8.719169814232009,23.393557341299168,8.875890382868551,0.0020825562152955515,0.0013557753975754943,0.03726192745638738,0.00017945116782306132,0.06304379232848673,0.00034992753191950626,0.1318699372932313,0.0001785205125103884,1.357487598333387,0.0,1.3575125206570402,0.0,1.7016636984355735,0.0,0.26888071878938147,0.0,0.7416433331430122,1.3597399555105182e-16,-0.0013668914140491913,0.0,0.020347855562037345,0.0,0.037261379339208846,0.0,0.06668436932073626,0.0,0.27191882372689735,0.0,0.04278516373687405,0.0,0.30303485600052016,0.0,0.057147800998414544,0.0,0.0006016114026246274,0.0,0.00025830232280442194,0.0,0.15128813517735953,0.0,False
