sequence,base_seed,duration_s,n_samples,ATE_m,heading_MAE_deg,RPE1_m,RPE5_m,RPE10_m,Dp_p95_m,Dp_max_m,Dtheta_p95_deg,Dtheta_max_deg,persistent_signed_yaw_residual_radps,persistent_abs_yaw_residual_deg_per_min,Iomega_final_deg,Iomega_p95_abs_deg,Iomega_max_abs_deg,prediction_speed_residual_signed_mean_mps,prediction_speed_residual_rmse_mps,prediction_speed_residual_p95_abs_mps,prediction_yaw_residual_p95_abs_radps,speed_mean_mps,speed_abs_mean_mps,speed_p95_abs_mps,accel_abs_mean_mps2,accel_p95_abs_mps2,wheel_imu_yaw_disagreement_signed_mean_radps,wheel_imu_yaw_disagreement_abs_mean_radps,wheel_imu_yaw_disagreement_rms_radps,wheel_imu_yaw_disagreement_p95_abs_radps,normalized_yaw_disagreement_abs_mean,curvature_abs_mean_radpm,curvature_p95_abs_radpm,turning_intensity_abs_imu_yaw_mean_radps,lateral_motion_proxy_abs_mean_mps,wheel_odo_forward_residual_abs_mean_mps,sensor_yaw_residual_signed_mean_radps,sensor_yaw_residual_p95_abs_radps
building00,42,1200.7999999999993,12009,1.9650204520600905,0.6456319775493063,0.12044215921333244,0.30146317159989944,0.4605869607719869,3.8167693241152016,4.3092947667909005,1.9176098080183583,2.9351831738296097,-0.00035871108841098594,1.2331578858296177,-24.68165508496962,24.531638014701823,25.6858366591507,0.0008688014690498846,0.055286311260557094,0.10860925801098341,0.07306002974510199,1.413725785128305,1.4137456316310777,1.7133778674252715,0.2746421199968884,0.7220282597500883,-0.005542523514856339,0.0330151842053783,0.052312377143575235,0.09718888990051756,0.31245732916367397,0.057794446656412236,0.2935609997106626,0.07464556609699152,,0.00036893139461780357,0.0001451308225348508,0.0926313898867975
building00,1042,1200.7999999999993,12009,1.8185551729402623,0.7573665055960633,0.13807469455411908,0.33624357452844683,0.5207330760391831,3.7756883409690225,4.113037757950084,2.2302389530200397,3.982371798845714,-0.0005377194602095794,1.8485433379237022,-36.998594908677326,36.61981829414097,37.80722336152536,-0.0004559625684243853,0.05566532246711669,0.1090841572731733,0.07324963510036472,1.413725785128305,1.4137456316310777,1.7133778674252715,0.2746421199968884,0.7220282597500883,-0.005542523514856339,0.0330151842053783,0.052312377143575235,0.09718888990051756,0.31245732916367397,0.057794446656412236,0.2935609997106626,0.07464556609699152,,0.00036893139461780357,0.0001451308225348508,0.0926313898867975
building00,2042,1200.7999999999993,12009,1.823313068026828,0.6231829497057222,0.12117761710760129,0.30752779511706074,0.4699338065701747,3.11651081697636,3.8091106311681275,1.7357970859651417,3.3784629071479015,-0.00012611307096720395,0.43354480247127725,-8.677399221494188,9.369766514569726,10.504671814759623,-0.0016035300946931588,0.05548099735689379,0.10866138152778143,0.07344293706119061,1.413725785128305,1.4137456316310777,1.7133778674252715,0.2746421199968884,0.7220282597500883,-0.005542523514856339,0.0330151842053783,0.052312377143575235,0.09718888990051756,0.31245732916367397,0.057794446656412236,0.2935609997106626,0.07464556609699152,,0.00036893139461780357,0.0001451308225348508,0.0926313898867975
building01,42,1368.7999999999993,13689,1.5178267651348287,0.7125047334398943,0.08960969349450496,0.23428702929777678,0.3629531705718307,2.013991241417524,4.003321748430061,2.490679962596023,4.5271549666860516,0.00013549231943508873,0.4657882836041377,10.626959690467071,9.311666683439581,10.789828084381998,-0.00019893696666721202,0.06056912465970705,0.09740906134247761,0.05924779959022986,1.27992639073386,1.281860325769867,1.6945426462354494,0.30570863776052476,0.7903687304928928,-0.005213317109876008,0.030888461909337254,0.06039876718753914,0.08811735298721544,0.27778767921719794,0.07659660765487897,0.34556249575779174,0.08555356999683955,,0.00037661209053741737,0.0005902310514892142,0.07842197342794317
building01,1042,1368.7999999999993,13689,1.4976737471966741,0.7583737399303906,0.09014827193066333,0.2359060082576554,0.3726349959343153,2.024433938988373,4.245127987572982,2.627765943611046,4.338864974118555,0.00017236171751146365,0.5925359377819801,13.518707420545104,12.24627921545973,13.999642571252272,-0.000828004834827759,0.06130298869488787,0.09863045029342153,0.0597480442374945,1.27992639073386,1.281860325769867,1.6945426462354494,0.30570863776052476,0.7903687304928928,-0.005213317109876008,0.030888461909337254,0.06039876718753914,0.08811735298721544,0.27778767921719794,0.07659660765487897,0.34556249575779174,0.08555356999683955,,0.00037661209053741737,0.0005902310514892142,0.07842197342794317
building01,2042,1368.7999999999993,13689,1.5260031236690945,0.7250439538764905,0.0947348441703271,0.2553610060549044,0.3969237284516626,1.8433259705989635,4.675696614313713,2.5157616845568467,4.974950841009039,0.0001866474688776339,0.6416467334092684,14.63917022278568,13.26661346750672,14.857500796216097,-0.005238745402567842,0.06108546602420369,0.09832980558276172,0.059175278618931695,1.27992639073386,1.281860325769867,1.6945426462354494,0.30570863776052476,0.7903687304928928,-0.005213317109876008,0.030888461909337254,0.06039876718753914,0.08811735298721544,0.27778767921719794,0.07659660765487897,0.34556249575779174,0.08555356999683955,,0.00037661209053741737,0.0005902310514892142,0.07842197342794317
building02,42,1871.3000000000175,18714,1.647140726206558,0.8262706476352099,0.12103833780996438,0.2990968051927214,0.4695172213431636,4.592905289741189,5.316674725969484,3.1813324143803174,5.547041616894269,3.87096960190614e-05,0.13307413248759495,4.150582192529658,6.634712686767828,7.683447994125405,-0.00204748646900047,0.04761478047107182,0.09433858292177309,0.07387278126552693,1.3674588573957573,1.3675125858935162,1.7696123072549903,0.3181240109840608,0.8274170550306401,-0.0062978037299304375,0.03251621539088235,0.05468133741174862,0.10712499151612241,0.3117284266463068,0.040672198655471635,0.21832636772199876,0.05421382192101142,,0.00033561947082773444,0.00040706823402288393,0.09314879236847488
building02,1042,1871.3000000000175,18714,1.7131476248827302,0.8484849961569504,0.12156196643195694,0.3128500286359681,0.48447541036658115,4.466644026118748,5.560601810150578,3.2692622344679974,5.911780908644987,0.0001655944079112055,0.5692716410567906,17.755582485594868,12.578963718722578,17.755582485594868,0.00414303975803846,0.04781854278688678,0.09476070860400787,0.074248887784779,1.3674588573957573,1.3675125858935162,1.7696123072549903,0.3181240109840608,0.8274170550306401,-0.0062978037299304375,0.03251621539088235,0.05468133741174862,0.10712499151612241,0.3117284266463068,0.040672198655471635,0.21832636772199876,0.05421382192101142,,0.00033561947082773444,0.00040706823402288393,0.09314879236847488
building02,2042,1871.3000000000175,18714,1.6292025454447487,0.5541069293670307,0.11331163699890044,0.27027026994220743,0.4271282743100149,5.145966686354951,5.727904777602159,2.064990350180349,4.875275605314689,-3.723491443308898e-05,0.12800420685280517,-3.992451211971381,8.100292353040746,10.170801546488184,-0.007920837512604062,0.048312910977591515,0.09543014606460917,0.07419602023437609,1.3674588573957573,1.3675125858935162,1.7696123072549903,0.3181240109840608,0.8274170550306401,-0.0062978037299304375,0.03251621539088235,0.05468133741174862,0.10712499151612241,0.3117284266463068,0.040672198655471635,0.21832636772199876,0.05421382192101142,,0.00033561947082773444,0.00040706823402288393,0.09314879236847488
parking00,42,1140.7999999999884,11409,1.9889231291662062,0.5347313824358313,0.09803834781610116,0.24558316933186564,0.35142307228216313,2.7075395551800194,3.953225389943637,1.6743979974915897,4.079317690113622,-0.00016765617194148665,0.5763594636940103,-10.959475202779538,10.536050334331058,11.961448388366883,-0.0022660455229505565,0.059971949478425775,0.09328948371112346,0.059466379508376195,1.4058142130973779,1.4058378308166442,1.6864418671843964,0.3677248982931428,0.8773512509135011,-0.006545163360441953,0.03561180713830243,0.0758533659600301,0.10747574052761705,0.3011515579157526,0.05326745136271848,0.2635485016336505,0.07365791531875504,,0.00038465040430751525,0.000406737040690428,0.07815371129349914
