sequence,duration_s,sample_count,analysis_hz,velocity_residual_mean_mps,velocity_residual_mae_mps,velocity_residual_rmse_mps,velocity_residual_max_abs_mps,integrated_velocity_residual_final_m,yaw_residual_mean_radps,yaw_residual_mean_degps,yaw_residual_mae_radps,yaw_residual_rmse_radps,yaw_residual_max_abs_radps,integrated_yaw_residual_final_deg,integrated_yaw_residual_max_abs_deg,rolling_yaw_bias_1s_max_abs_radps,rolling_yaw_bias_5s_max_abs_radps,rolling_yaw_bias_10s_max_abs_radps,rolling_yaw_bias_30s_max_abs_radps,gt_lateral_velocity_mae_mps,gt_lateral_velocity_rmse_mps,slip_angle_mean_abs_deg,slip_angle_p95_abs_deg,corr_velocity_residual_odo_speed,corr_velocity_residual_acceleration,corr_yaw_residual_imu_yaw_rate,corr_yaw_residual_abs_curvature,corr_abs_slip_abs_curvature,pose_vs_v1_forward_rmse_mps,pose_vs_v1_forward_mae_mps,pose_vs_v1_forward_correlation,v1_n_seeds,v1_ate_rmse_m_mean,v1_ate_rmse_m_std,v1_heading_mae_deg_mean,v1_heading_mae_deg_std,v1_rpe_1s_trans_rmse_m_mean,v1_rpe_1s_trans_rmse_m_std,v1_rpe_5s_trans_rmse_m_mean,v1_rpe_5s_trans_rmse_m_std,v1_rpe_10s_trans_rmse_m_mean,v1_rpe_10s_trans_rmse_m_std
building00,1200.7999999999993,12009,9.99999999996362,-0.02178054854819371,0.04382519429876069,0.06094395576909898,0.6397133469581604,-26.153743240433354,0.0001451308791218901,0.008315386850707618,0.02506043290827025,0.04136199859438313,0.40376710891723633,9.990990812465327,10.673731179370426,0.056527470238506794,0.010305764263030141,0.0056243566609919075,0.0019758943357495204,0.015829870509352178,0.025772154033784037,0.7094614807333497,2.4818706382203684,0.0009605196155677271,0.13250179070633905,-0.31433866132633786,-0.007267322909408649,0.10500478118794421,0.04088863724334171,0.02926996749559308,0.9843925579576656,3.0,1.880781941596983,0.0786614839080293,0.7654635565908924,0.06692759867199276,0.12531151769283547,0.014678810339255412,0.32739149786512706,0.03602594214473639,0.5073534479123216,0.04231047871255767
building01,1368.800000000001,13689,9.99999999996362,-0.020431343965525515,0.04191667377576254,0.06656127187324128,0.6711019277572632,-27.96448367009084,0.0005902310875798406,0.03381775025574133,0.021032855431837253,0.034868720284714876,0.2582727372646332,46.28699642859912,46.31094728040733,0.048911912529729304,0.010446434128680267,0.005587453521220595,0.002164218236139277,0.014634346718403028,0.027488903963509777,1.2537708296741001,2.457705326345943,-0.04916771473493632,0.18671774589092158,-0.2538684822304722,-0.005684612010257025,0.07537651228963435,0.03291804528657115,0.022447769515333633,0.9939947437553978,3.0,1.602177758349784,0.11033185328153217,1.1536729721650234,0.413031057762295,0.10249847666750224,0.01239398114303284,0.2684393582343895,0.03240519648609076,0.43403244436011157,0.05878444080440019
building02,1871.2999999999884,18714,9.999999999417923,-0.021041563676544663,0.03753802463534813,0.054301990200133446,0.6845627427101135,-39.37717236772842,0.0004070682321160223,0.02332329167409983,0.02300217131015415,0.040308420529256574,0.27756550908088684,43.64589303947642,43.64589303947642,0.05082695735618472,0.010142147862352431,0.005807219370617531,0.0021717153388696414,0.013725180367561634,0.019834601296791675,0.6511216409552149,1.624296273138893,-0.1122639006511546,0.12362605475509285,-0.37513698683173197,-0.004663683380854101,0.008252786500492715,0.03795731099328375,0.023841060608124395,0.996711934498211,3.0,1.6616292437749556,0.11407758306135125,0.7319718617530556,0.1802031396871435,0.11565120255401608,0.013539270755595238,0.30251385375173007,0.028135247907749916,0.4718262620023875,0.04869848994274207
parking00,1140.7999999999884,11409,9.999999999417923,-0.020290981381348175,0.04124617302257729,0.06533929368718927,0.8789601922035217,-23.14985284518148,0.0004067370358943131,0.023304315528405214,0.021338633496652618,0.03636265233018029,0.5020047426223755,26.570655086741684,27.83080544458406,0.09255601933691651,0.016045157251646743,0.007704551342467312,0.003287096747784138,0.01964688706112904,0.033774717198015475,0.8695234640330276,2.185834126203515,0.006644572217202542,0.1863962355099325,-0.283974151270695,-0.008727989711110665,0.1381942999316048,0.03259999836898434,0.021516024762148433,0.9876245540080026,3.0,2.078512466957156,0.09476370470755323,0.8061565077472582,0.10970112116983474,0.10782229950764227,0.03892764391910325,0.28067248267841843,0.07114710308384264,0.4336029515854561,0.07536297330214092
parking01,1059.7999999999884,10599,9.999999999417923,-0.019050723215280008,0.03706435966407719,0.06356128108944416,0.8019706606864929,-20.192423367244942,0.0007447162421465136,0.04266909760983787,0.016765890759456514,0.031570897560744215,0.31669479608535767,45.221941649946565,45.221941649946565,0.04734624898992479,0.007872161853010767,0.0053130300180055205,0.0025463613039270663,0.01649010014096484,0.031043761139158434,0.8601177198970952,1.6919463172119287,0.013383293068512348,0.22375285172356657,-0.2349640733914531,-0.006643612948267993,0.0996184477728332,0.025987047830400747,0.01578892472247094,0.9923827714923453,3.0,5.694577739818765,0.30180592000469364,7.805086626163049,0.468050596789685,0.022797829584082673,0.00014350776853302243,0.08313899561314443,0.0005966532553049367,0.15326228281695722,0.0008112017089221258
parking02,1256.7999999999884,12569,9.999999999417923,-0.018213254008098992,0.03451488323399409,0.0603879039908695,0.7480348944664001,-22.888028953836773,0.0010008592834475432,0.057345012828032,0.016181328317241745,0.029855281984725403,0.3566076457500458,72.07050881179454,72.07050881179454,0.0443844479508698,0.009820139704970643,0.005139042182954175,0.00215017017396652,0.010406422040473713,0.024256128973668994,0.6204560564663335,1.2687661759030626,-0.028837819476289547,0.20212584830136168,-0.2379162016664098,-0.0037977478116003136,0.02158694479879267,0.02372381808697132,0.014333814702377573,0.9967356403001186,3.0,14.016534584057785,7.935870956160409,20.638377211311305,11.941161248342267,0.019342016763902445,0.0001747435308025673,0.05964489594645173,0.0004929231522038954,0.11119336229877547,0.0015519371992619205
playground00,1326.2000000000116,13263,9.999999999417923,-0.025814852662678845,0.03837482580096385,0.0501098603533677,0.44867199659347534,-34.238219790516915,0.00016972158417089044,0.00972433046526638,0.021649977228197722,0.03489392712661655,0.2931787967681885,12.897168659389932,13.198138243468497,0.05640058573335409,0.009040906842419644,0.005261132604791783,0.0016301013119664276,0.00967849653450931,0.014475667879160218,0.46169786891424086,1.123818734931633,-0.12209129388731975,0.08107712347579163,-0.3904427969311617,-0.031838709863753305,0.016942644714607775,0.037980455946676046,0.028065100151474537,0.9937296580137578,3.0,0.24061409526515556,0.0004158716535845348,0.287190747194539,0.1044773140504713,0.014820440523106238,0.0011017095160134004,0.05195563363014558,0.007473470042703885,0.09763286279822851,0.015651360496029647
street00,1373.699999999997,13738,9.999999999417923,-0.018633160948584953,0.026831446292726175,0.03542386274858438,0.38192495703697205,-25.598250416952897,0.00014093913896522857,0.008075217830915405,0.013071305269187447,0.021390266478492084,0.21179647743701935,11.091836454636578,11.101942801943972,0.03402133183553815,0.006877426945138722,0.0033429027914098695,0.0012825525882120322,0.010123918863628999,0.016687166603711726,0.535175099026122,1.419678533513251,-0.1047164568691105,0.28561070549628775,-0.23997096543567012,-0.0011897908693784436,0.0184471501601129,0.02245292695707284,0.01586626824490809,0.9950947876498553,3.0,0.29768216774394235,0.0007052585509075635,0.2925855009306146,0.03458199194013453,0.017754614752439894,0.00024838185265556377,0.06493516652553366,0.001410158671343687,0.11398159091475925,0.003076110440093229
street01,1248.199999999997,12483,9.999999999417923,-0.020225379256840877,0.032352685774367146,0.043102632772909155,0.5810050368309021,-25.24739327422678,0.0004471794169526244,0.025621493276506275,0.024359851233953504,0.056069826734309436,0.5117605328559875,31.980655844498173,31.980655844498173,0.07191492770798505,0.013940838505513966,0.007826863437658175,0.0032022418551825166,0.011720211150798627,0.01861501820575281,0.5777003116478198,1.268619885273868,-0.05900311672620663,0.16073758530055357,-0.4162269997996205,-0.02437531870431186,0.0355770657136882,0.02624163751374737,0.0194895309075545,0.9965977586355459,3.0,0.4023618866745191,0.0015735013987927908,0.4246660878536021,0.03064395357557562,0.04251049891055869,0.0023116917844116765,0.12274377381417306,0.004878278903813109,0.20763001331853206,0.006735830546204383
street02,1379.800000000003,13799,9.999999999417923,-0.019800506567723926,0.030346164145511355,0.0432194767421942,0.642525315284729,-27.32272716970448,0.0002583022909891212,0.01479963111223672,0.025274156470688248,0.05808033127575984,0.46445322036743164,20.421027926826635,22.352913741625805,0.07633985853753984,0.015521439939329867,0.007264734079653863,0.0034117759838651787,0.011984435224646938,0.019806367567400743,0.5153585422634119,1.3199669570498227,-0.05278423804059481,0.2646991367135856,-0.4094628466405078,-0.012931076762107916,0.2670234739080577,0.023209516565384676,0.017028231661803592,0.9959614877768347,3.0,0.46445744463709165,0.006759471954233614,0.4529057581170246,0.05803718648923358,0.037713063265792754,0.004765148472473547,0.10822033994749401,0.005954160145790759,0.1839510587811112,0.006085290191253708
