context_s,feature_set,query_sequence,reference_sequence,n_histories,history_dimensions,median_nearest_distance,close50_median_abs_target_gap_deg_per_min,close25_median_abs_target_gap_deg_per_min,close50_fraction_gap_gt_1degmin,close25_fraction_gap_gt_1degmin
2.0,v1_baseline_6,parking02,parking01,1227,120,0.6641780498427389,0.9186983929864824,0.808874287795087,0.4527687296416938,0.3941368078175896
2.0,v1_baseline_6,parking01,parking02,1030,120,0.6358707754878719,0.9773518807721221,0.9152039164556642,0.48349514563106794,0.4418604651162791
2.0,baseline_plus_wheel_yaw,parking02,parking01,1227,140,0.6457789009934681,0.9395560027726881,0.8331388376574247,0.46254071661237783,0.41042345276872966
2.0,baseline_plus_wheel_yaw,parking01,parking02,1030,140,0.6164663379570907,0.9752813026016586,0.9068510427899568,0.4815533980582524,0.437984496124031
2.0,baseline_plus_yaw_disagreement,parking02,parking01,1227,140,0.6911044665240947,0.9084158055020897,0.8023795408712245,0.4495114006514658,0.40390879478827363
2.0,baseline_plus_yaw_disagreement,parking01,parking02,1030,140,0.6690986498802208,1.0139801530136363,0.9571067399156186,0.512621359223301,0.4844961240310077
2.0,baseline_plus_wheel_consistency_pack,parking02,parking01,1227,180,0.7449631713594019,0.9300386048262785,0.8198829528391224,0.46254071661237783,0.40390879478827363
2.0,baseline_plus_wheel_consistency_pack,parking01,parking02,1030,180,0.7312857039584708,1.0526080966201805,0.9594487792444022,0.5223300970873787,0.4883720930232558
30.0,v1_baseline_6,parking02,parking01,1227,1800,1.0835663686659065,0.7523769298023731,0.7470797036633339,0.3322475570032573,0.28664495114006516
30.0,v1_baseline_6,parking01,parking02,1030,1800,1.084649905335683,0.9167473245974069,0.9087992530109913,0.4446601941747573,0.4186046511627907
30.0,baseline_plus_wheel_yaw,parking02,parking01,1227,2100,1.0637591562927795,0.75497238041038,0.7562697974173659,0.3338762214983713,0.2931596091205212
30.0,baseline_plus_wheel_yaw,parking01,parking02,1030,2100,1.0714662727587214,0.9550076869037011,0.9231753512655717,0.47572815533980584,0.43410852713178294
30.0,baseline_plus_yaw_disagreement,parking02,parking01,1227,2100,1.0953551147372036,0.7416867876902232,0.7427677125675112,0.30781758957654726,0.2899022801302932
30.0,baseline_plus_yaw_disagreement,parking01,parking02,1030,2100,1.0902329869697738,0.9219031430745211,0.9168399161825902,0.44660194174757284,0.43410852713178294
30.0,baseline_plus_wheel_consistency_pack,parking02,parking01,1227,2700,1.1233501276357516,0.7495655412463067,0.7494431484898135,0.30944625407166126,0.28664495114006516
30.0,baseline_plus_wheel_consistency_pack,parking01,parking02,1030,2700,1.1187734923354977,0.8328095074670638,0.7944893467743361,0.42135922330097086,0.3992248062015504
