test_sequence,wheel_yaw_vs_true_30s_corr,yaw_disagreement_vs_true_30s_corr,yaw_disagreement_normalized_vs_true_30s_corr,wheel_lateral_ratio_vs_true_30s_corr
building00,0.4984870766853732,-0.027498690228438805,0.014049906357185168,0.0142524253064128
building01,0.5103255391569689,-0.03277864056467018,0.00744619443764943,0.007837801195818278
building02,0.33958912255888263,-0.019165654938292472,0.010420117297599363,-0.003467584727708498
parking00,0.4267743183928057,-0.02824837632657554,0.00030408268169814136,0.006384740638720384
parking01,0.5522424396646226,-0.034862785310249514,0.0364147362298534,0.009350202540089426
parking02,0.5797214628090283,-0.05225734318277541,-0.0024581893147990388,0.010941329374997389
playground00,0.39258994806597425,-0.049564753710698,-0.015250395844078217,0.002491943042091549
street00,0.5511608925928635,0.13887236033832498,0.027159813488219633,0.008151447021535009
street01,0.28904757208834153,-0.007763623228658771,0.016031176127665102,0.0008277306858841835
street02,0.37423335873889685,0.33768354314233723,0.07946244818998423,0.0019062463730955357
