held_out_sequence,training_sequences,held_out_excluded_from_fit,speed_scale,yaw_scale,yaw_bias_radps,optimizer,objective,initial,bounds,objective_value,evaluations
ts_2022_06_09_13h16m39s_one_row,ts_2022_06_15_11h48m34s_four_rows;ts_2022_09_01_11h20m00s_two_random;ts_2022_09_01_12h32m56s_double_loop_corridor;ts_2022_09_06_12h37m11s_four_rows,True,0.8000000000000019,0.8430246053016316,-3.609090334304714e-05,scipy.optimize.minimize/Powell,"mean sequence-balanced Huber loss of RTK position error normalized by max(path_length,10m)","[1.0, 1.0, 0.0]","[[0.8, 1.2], [0.8, 1.2], [-0.02, 0.02]]",0.009594981402141056,264
ts_2022_06_15_11h48m34s_four_rows,ts_2022_06_09_13h16m39s_one_row;ts_2022_09_01_11h20m00s_two_random;ts_2022_09_01_12h32m56s_double_loop_corridor;ts_2022_09_06_12h37m11s_four_rows,True,0.8000000000190924,0.8849845355560704,0.0022077530469968853,scipy.optimize.minimize/Powell,"mean sequence-balanced Huber loss of RTK position error normalized by max(path_length,10m)","[1.0, 1.0, 0.0]","[[0.8, 1.2], [0.8, 1.2], [-0.02, 0.02]]",0.01846984686783113,455
ts_2022_09_01_11h20m00s_two_random,ts_2022_06_09_13h16m39s_one_row;ts_2022_06_15_11h48m34s_four_rows;ts_2022_09_01_12h32m56s_double_loop_corridor;ts_2022_09_06_12h37m11s_four_rows,True,0.8000000000165463,0.9058110307892021,0.0004790376732556003,scipy.optimize.minimize/Powell,"mean sequence-balanced Huber loss of RTK position error normalized by max(path_length,10m)","[1.0, 1.0, 0.0]","[[0.8, 1.2], [0.8, 1.2], [-0.02, 0.02]]",0.01770114860921331,494
ts_2022_09_01_12h32m56s_double_loop_corridor,ts_2022_06_09_13h16m39s_one_row;ts_2022_06_15_11h48m34s_four_rows;ts_2022_09_01_11h20m00s_two_random;ts_2022_09_06_12h37m11s_four_rows,True,0.8000000000190917,0.9381235729827117,0.0037568342865827373,scipy.optimize.minimize/Powell,"mean sequence-balanced Huber loss of RTK position error normalized by max(path_length,10m)","[1.0, 1.0, 0.0]","[[0.8, 1.2], [0.8, 1.2], [-0.02, 0.02]]",0.017473554480118433,421
ts_2022_09_06_12h37m11s_four_rows,ts_2022_06_09_13h16m39s_one_row;ts_2022_06_15_11h48m34s_four_rows;ts_2022_09_01_11h20m00s_two_random;ts_2022_09_01_12h32m56s_double_loop_corridor,True,0.8000000000190813,0.8000057776472329,0.005106348722692563,scipy.optimize.minimize/Powell,"mean sequence-balanced Huber loss of RTK position error normalized by max(path_length,10m)","[1.0, 1.0, 0.0]","[[0.8, 1.2], [0.8, 1.2], [-0.02, 0.02]]",0.016325699046253646,464
