dataset,domain,subsystem,segment,component,unit,horizon_s,n_points,normalized_p95_error,scale,unit_id,semantics
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_0,Heat Pipe TC-10,degC,300,302,0.0675212223692528,101.64759320000002,0:Heat Pipe TC-10,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_0,Heat Pipe TC-10,degC,600,600,0.102845829152959,101.64759320000002,0:Heat Pipe TC-10,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_4,Heat Pipe TC-01,degC,60,62,0.002053996901668859,4.087781149999998,4:Heat Pipe TC-01,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_4,Heat Pipe TC-01,degC,300,302,0.020377224547225778,4.087781149999998,4:Heat Pipe TC-01,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_4,Heat Pipe TC-01,degC,600,600,0.15227458898896928,4.087781149999998,4:Heat Pipe TC-01,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_4,Heat Pipe TC-02,degC,60,62,0.0022664081107310213,4.6027229999999975,4:Heat Pipe TC-02,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_4,Heat Pipe TC-02,degC,300,302,0.020834368514840506,4.6027229999999975,4:Heat Pipe TC-02,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_4,Heat Pipe TC-02,degC,600,600,0.13302710160764628,4.6027229999999975,4:Heat Pipe TC-02,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_4,Heat Pipe TC-03,degC,60,62,0.0017832310035005266,12.860793000000001,4:Heat Pipe TC-03,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_4,Heat Pipe TC-03,degC,300,302,0.011682734540964985,12.860793000000001,4:Heat Pipe TC-03,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_4,Heat Pipe TC-03,degC,600,600,0.03434569800214496,12.860793000000001,4:Heat Pipe TC-03,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_4,Heat Pipe TC-04,degC,60,62,0.002184253117069104,34.57984929999999,4:Heat Pipe TC-04,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_4,Heat Pipe TC-04,degC,300,302,0.01266973030235545,34.57984929999999,4:Heat Pipe TC-04,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_4,Heat Pipe TC-04,degC,600,600,0.027934947296071717,34.57984929999999,4:Heat Pipe TC-04,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_4,Heat Pipe TC-05,degC,60,62,0.0014309393685848332,125.92503189999996,4:Heat Pipe TC-05,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_4,Heat Pipe TC-05,degC,300,302,0.02484316309979023,125.92503189999996,4:Heat Pipe TC-05,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_4,Heat Pipe TC-05,degC,600,600,0.13581996972292215,125.92503189999996,4:Heat Pipe TC-05,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_4,Heat Pipe TC-06,degC,60,62,0.001795202493642452,193.69339839999992,4:Heat Pipe TC-06,forecast trajectory remains within normalized discrepancy over service horizon
