dataset,domain,horizon_s,grid_average_validity,min_validity,max_validity,total_contract_units
FreeTwinEV_1S4P,battery_electrothermal,60,0.34375,0.0,0.8333333333333334,144
FreeTwinEV_1S4P,battery_electrothermal,300,0.3131313131313131,0.0,0.7878787878787878,33
FreeTwinEV_1S4P,battery_electrothermal,600,0.26851851851851855,0.0,0.7222222222222222,18
MAGNET,thermal_heat_pipe,60,0.9427536231884058,0.8565217391304348,1.0,230
MAGNET,thermal_heat_pipe,300,0.8188405797101449,0.5217391304347826,0.9956521739130435,230
MAGNET,thermal_heat_pipe,600,0.6594202898550724,0.2826086956521739,0.9695652173913043,230
TUWien_SNG,biomass_to_sng_process,60,0.3851127265065319,0.03857142857142857,0.8539949431099874,3930
TUWien_SNG,biomass_to_sng_process,300,0.32434210526315793,0.0017543859649122807,0.8429824561403509,798
TUWien_SNG,biomass_to_sng_process,600,0.2975146198830409,0.0017543859649122807,0.8245614035087718,399
