dataset,domain,subsystem,horizon_s,normalized_tolerance,n_contract_units,n_components,service_validity,median_normalized_p95_error
TUWien_SNG,biomass_to_sng_process,mpc_kalman_state,600,0.5,114,2,0.9473684210526315,0.1630511785670127
TUWien_SNG,biomass_to_sng_process,soft_sensor_product_gas,60,0.01,2800,5,0.07714285714285714,0.08085992461384073
TUWien_SNG,biomass_to_sng_process,soft_sensor_product_gas,60,0.02,2800,5,0.16071428571428573,0.08085992461384073
TUWien_SNG,biomass_to_sng_process,soft_sensor_product_gas,60,0.05,2800,5,0.36857142857142855,0.08085992461384073
TUWien_SNG,biomass_to_sng_process,soft_sensor_product_gas,60,0.1,2800,5,0.5560714285714285,0.08085992461384073
TUWien_SNG,biomass_to_sng_process,soft_sensor_product_gas,60,0.2,2800,5,0.7075,0.08085992461384073
TUWien_SNG,biomass_to_sng_process,soft_sensor_product_gas,60,0.5,2800,5,0.7628571428571429,0.08085992461384073
TUWien_SNG,biomass_to_sng_process,soft_sensor_product_gas,300,0.01,570,5,0.0035087719298245615,0.11961802870926891
TUWien_SNG,biomass_to_sng_process,soft_sensor_product_gas,300,0.02,570,5,0.031578947368421054,0.11961802870926891
TUWien_SNG,biomass_to_sng_process,soft_sensor_product_gas,300,0.05,570,5,0.22105263157894736,0.11961802870926891
TUWien_SNG,biomass_to_sng_process,soft_sensor_product_gas,300,0.1,570,5,0.44912280701754387,0.11961802870926891
TUWien_SNG,biomass_to_sng_process,soft_sensor_product_gas,300,0.2,570,5,0.6543859649122807,0.11961802870926891
TUWien_SNG,biomass_to_sng_process,soft_sensor_product_gas,300,0.5,570,5,0.7298245614035088,0.11961802870926891
TUWien_SNG,biomass_to_sng_process,soft_sensor_product_gas,600,0.01,285,5,0.0035087719298245615,0.1397696130927847
TUWien_SNG,biomass_to_sng_process,soft_sensor_product_gas,600,0.02,285,5,0.014035087719298246,0.1397696130927847
TUWien_SNG,biomass_to_sng_process,soft_sensor_product_gas,600,0.05,285,5,0.1543859649122807,0.1397696130927847
TUWien_SNG,biomass_to_sng_process,soft_sensor_product_gas,600,0.1,285,5,0.3824561403508772,0.1397696130927847
TUWien_SNG,biomass_to_sng_process,soft_sensor_product_gas,600,0.2,285,5,0.6035087719298246,0.1397696130927847
TUWien_SNG,biomass_to_sng_process,soft_sensor_product_gas,600,0.5,285,5,0.7017543859649122,0.1397696130927847
