trial,capacity_hz,policy,source_duration_s,source_observations,source_observation_rate_hz,transport_deliveries,transport_deliveries_per_s,unique_delivered_sources,unique_source_delivery_rate_hz,repeated_source_fraction,response_bytes_per_s,p95_delivery_aoi_s,mean_delivery_aoi_s,rate_switches,economy_fraction,normal_fraction,high_fraction,service_id,qualified_deliveries,at_risk_deliveries,withdrawn_deliveries,unobservable_deliveries,observable_fraction_request_weighted,satisfaction_given_observable_request_weighted,observable_fraction_time_weighted,satisfaction_given_observable_time_weighted
1,1.5,static-low,90.86099999999999,140,1.5298092691033558,136,1.496791802863715,133,1.4637743366240743,0.022058823529411766,922.0127447419686,1.2747499999999774,1.0359093137254416,0,1.0,0.0,0.0,local_1s_tight,0,0,115,21,0.8455882352941176,0.0,0.8447796055184543,0.0
1,1.5,static-low,90.86099999999999,140,1.5298092691033558,136,1.496791802863715,133,1.4637743366240743,0.022058823529411766,922.0127447419686,1.2747499999999774,1.0359093137254416,0,1.0,0.0,0.0,local_5s_moderate,1,8,96,31,0.7720588235294118,0.08571428571428572,0.7708651319558137,0.08629658217592019
1,1.5,static-low,90.86099999999999,140,1.5298092691033558,136,1.496791802863715,133,1.4637743366240743,0.022058823529411766,922.0127447419686,1.2747499999999774,1.0359093137254416,0,1.0,0.0,0.0,local_10s_preview,46,16,37,37,0.7279411764705882,0.6262626262626263,0.7265164478182294,0.6307768220039371
1,1.5,static-low,90.86099999999999,140,1.5298092691033558,136,1.496791802863715,133,1.4637743366240743,0.022058823529411766,922.0127447419686,1.2747499999999774,1.0359093137254416,0,1.0,0.0,0.0,global_state_tracking,4,7,109,16,0.8823529411764706,0.09166666666666666,0.8817368422997747,0.09221109634802149
1,1.5,static-high,90.86099999999999,140,1.5298092691033558,136,1.496791802863715,133,1.4637743366240743,0.022058823529411766,922.0127447419686,1.2747499999999774,1.0359093137254416,0,0.0,0.0,1.0,local_1s_tight,0,0,115,21,0.8455882352941176,0.0,0.8447796055184543,0.0
1,1.5,static-high,90.86099999999999,140,1.5298092691033558,136,1.496791802863715,133,1.4637743366240743,0.022058823529411766,922.0127447419686,1.2747499999999774,1.0359093137254416,0,0.0,0.0,1.0,local_5s_moderate,1,8,96,31,0.7720588235294118,0.08571428571428572,0.7708651319558137,0.08629658217592019
1,1.5,static-high,90.86099999999999,140,1.5298092691033558,136,1.496791802863715,133,1.4637743366240743,0.022058823529411766,922.0127447419686,1.2747499999999774,1.0359093137254416,0,0.0,0.0,1.0,local_10s_preview,46,16,37,37,0.7279411764705882,0.6262626262626263,0.7265164478182294,0.6307768220039371
1,1.5,static-high,90.86099999999999,140,1.5298092691033558,136,1.496791802863715,133,1.4637743366240743,0.022058823529411766,922.0127447419686,1.2747499999999774,1.0359093137254416,0,0.0,0.0,1.0,global_state_tracking,4,7,109,16,0.8823529411764706,0.09166666666666666,0.8817368422997747,0.09221109634802149
1,1.5,aoi-only,90.86099999999999,140,1.5298092691033558,136,1.496791802863715,133,1.4637743366240743,0.022058823529411766,922.0127447419686,1.2747499999999774,1.0359093137254416,1,0.0,0.022058823529411766,0.9779411764705882,local_1s_tight,0,0,115,21,0.8455882352941176,0.0,0.8447796055184543,0.0
1,1.5,aoi-only,90.86099999999999,140,1.5298092691033558,136,1.496791802863715,133,1.4637743366240743,0.022058823529411766,922.0127447419686,1.2747499999999774,1.0359093137254416,1,0.0,0.022058823529411766,0.9779411764705882,local_5s_moderate,1,8,96,31,0.7720588235294118,0.08571428571428572,0.7708651319558137,0.08629658217592019
1,1.5,aoi-only,90.86099999999999,140,1.5298092691033558,136,1.496791802863715,133,1.4637743366240743,0.022058823529411766,922.0127447419686,1.2747499999999774,1.0359093137254416,1,0.0,0.022058823529411766,0.9779411764705882,local_10s_preview,46,16,37,37,0.7279411764705882,0.6262626262626263,0.7265164478182294,0.6307768220039371
1,1.5,aoi-only,90.86099999999999,140,1.5298092691033558,136,1.496791802863715,133,1.4637743366240743,0.022058823529411766,922.0127447419686,1.2747499999999774,1.0359093137254416,1,0.0,0.022058823529411766,0.9779411764705882,global_state_tracking,4,7,109,16,0.8823529411764706,0.09166666666666666,0.8817368422997747,0.09221109634802149
1,1.5,contract-aware,90.86099999999999,140,1.5298092691033558,136,1.496791802863715,133,1.4637743366240743,0.022058823529411766,922.0127447419686,1.2747499999999774,1.0359093137254416,1,0.0,0.022058823529411766,0.9779411764705882,local_1s_tight,0,0,115,21,0.8455882352941176,0.0,0.8447796055184543,0.0
