capacity_hz,policy,service_id,trials,source_observation_rate_hz_mean,source_observation_rate_hz_min,source_observation_rate_hz_max,transport_deliveries_per_s_mean,transport_deliveries_per_s_min,transport_deliveries_per_s_max,unique_source_delivery_rate_hz_mean,unique_source_delivery_rate_hz_min,unique_source_delivery_rate_hz_max,repeated_source_fraction_mean,repeated_source_fraction_min,repeated_source_fraction_max,response_bytes_per_s_mean,response_bytes_per_s_min,response_bytes_per_s_max,p95_delivery_aoi_s_mean,p95_delivery_aoi_s_min,p95_delivery_aoi_s_max,mean_delivery_aoi_s_mean,mean_delivery_aoi_s_min,mean_delivery_aoi_s_max,rate_switches_mean,rate_switches_min,rate_switches_max,economy_fraction_mean,economy_fraction_min,economy_fraction_max,normal_fraction_mean,normal_fraction_min,normal_fraction_max,high_fraction_mean,high_fraction_min,high_fraction_max,observable_fraction_request_weighted_mean,observable_fraction_request_weighted_min,observable_fraction_request_weighted_max,satisfaction_given_observable_request_weighted_mean,satisfaction_given_observable_request_weighted_min,satisfaction_given_observable_request_weighted_max,observable_fraction_time_weighted_mean,observable_fraction_time_weighted_min,observable_fraction_time_weighted_max,satisfaction_given_observable_time_weighted_mean,satisfaction_given_observable_time_weighted_min,satisfaction_given_observable_time_weighted_max
1.5,aoi-only,global_state_tracking,5,1.5205251543641973,1.5127256666482627,1.5298092691033558,1.494079564414904,1.4902142596946735,1.4984904911963677,1.4279054718797075,1.3467121457981492,1.4654355538905655,0.04434640522875817,0.022058823529411766,0.0962962962962963,925.9845582834148,922.0127447419686,928.8688677690503,1.3107766666667158,1.2747499999999774,1.3533000000001187,0.9847210239651519,0.9224962962963353,1.0359093137254416,1.0,1.0,1.0,0.0,0.0,0.0,0.022124183006535948,0.022058823529411766,0.022222222222222223,0.977875816993464,0.9777777777777777,0.9779411764705882,0.8672331154684095,0.8296296296296296,0.8888888888888888,0.19326472962066182,0.09166666666666666,0.3389830508474576,0.8674984622774764,0.8294862717914689,0.8887632325404621,0.19394998022668117,0.09221109634802149,0.3414804886585785
1.5,aoi-only,local_10s_preview,5,1.5205251543641973,1.5127256666482627,1.5298092691033558,1.494079564414904,1.4902142596946735,1.4984904911963677,1.4279054718797075,1.3467121457981492,1.4654355538905655,0.04434640522875817,0.022058823529411766,0.0962962962962963,925.9845582834148,922.0127447419686,928.8688677690503,1.3107766666667158,1.2747499999999774,1.3533000000001187,0.9847210239651519,0.9224962962963353,1.0359093137254416,1.0,1.0,1.0,0.0,0.0,0.0,0.022124183006535948,0.022058823529411766,0.022222222222222223,0.977875816993464,0.9777777777777777,0.9779411764705882,0.7123202614379085,0.6518518518518519,0.7279411764705882,0.35273139558853844,0.10204081632653061,0.6262626262626263,0.7120802215139868,0.651558903226045,0.7305060045379939,0.3543071409129906,0.10219985181021454,0.6307768220039371
1.5,aoi-only,local_1s_tight,5,1.5205251543641973,1.5127256666482627,1.5298092691033558,1.494079564414904,1.4902142596946735,1.4984904911963677,1.4279054718797075,1.3467121457981492,1.4654355538905655,0.04434640522875817,0.022058823529411766,0.0962962962962963,925.9845582834148,922.0127447419686,928.8688677690503,1.3107766666667158,1.2747499999999774,1.3533000000001187,0.9847210239651519,0.9224962962963353,1.0359093137254416,1.0,1.0,1.0,0.0,0.0,0.0,0.022124183006535948,0.022058823529411766,0.022222222222222223,0.977875816993464,0.9777777777777777,0.9779411764705882,0.82,0.762962962962963,0.8455882352941176,0.0,0.0,0.0,0.8201258478643485,0.7627635085794348,0.8447796055184543,0.0,0.0,0.0
1.5,aoi-only,local_5s_moderate,5,1.5205251543641973,1.5127256666482627,1.5298092691033558,1.494079564414904,1.4902142596946735,1.4984904911963677,1.4279054718797075,1.3467121457981492,1.4654355538905655,0.04434640522875817,0.022058823529411766,0.0962962962962963,925.9845582834148,922.0127447419686,928.8688677690503,1.3107766666667158,1.2747499999999774,1.3533000000001187,0.9847210239651519,0.9224962962963353,1.0359093137254416,1.0,1.0,1.0,0.0,0.0,0.0,0.022124183006535948,0.022058823529411766,0.022222222222222223,0.977875816993464,0.9777777777777777,0.9779411764705882,0.7580936819172114,0.7111111111111111,0.7925925925925926,0.08755162992587401,0.038461538461538464,0.19607843137254902,0.7579874020074976,0.7108680260811863,0.7923580340755296,0.08776345933718215,0.03878336581440219,0.19607843137254927
1.5,contract-aware,global_state_tracking,5,1.5205251543641973,1.5127256666482627,1.5298092691033558,1.494079564414904,1.4902142596946735,1.4984904911963677,1.4279054718797075,1.3467121457981492,1.4654355538905655,0.04434640522875817,0.022058823529411766,0.0962962962962963,925.9845582834148,922.0127447419686,928.8688677690503,1.3107766666667158,1.2747499999999774,1.3533000000001187,0.9847210239651519,0.9224962962963353,1.0359093137254416,1.0,1.0,1.0,0.0,0.0,0.0,0.022124183006535948,0.022058823529411766,0.022222222222222223,0.977875816993464,0.9777777777777777,0.9779411764705882,0.8672331154684095,0.8296296296296296,0.8888888888888888,0.19326472962066182,0.09166666666666666,0.3389830508474576,0.8674984622774764,0.8294862717914689,0.8887632325404621,0.19394998022668117,0.09221109634802149,0.3414804886585785
1.5,contract-aware,local_10s_preview,5,1.5205251543641973,1.5127256666482627,1.5298092691033558,1.494079564414904,1.4902142596946735,1.4984904911963677,1.4279054718797075,1.3467121457981492,1.4654355538905655,0.04434640522875817,0.022058823529411766,0.0962962962962963,925.9845582834148,922.0127447419686,928.8688677690503,1.3107766666667158,1.2747499999999774,1.3533000000001187,0.9847210239651519,0.9224962962963353,1.0359093137254416,1.0,1.0,1.0,0.0,0.0,0.0,0.022124183006535948,0.022058823529411766,0.022222222222222223,0.977875816993464,0.9777777777777777,0.9779411764705882,0.7123202614379085,0.6518518518518519,0.7279411764705882,0.35273139558853844,0.10204081632653061,0.6262626262626263,0.7120802215139868,0.651558903226045,0.7305060045379939,0.3543071409129906,0.10219985181021454,0.6307768220039371
1.5,contract-aware,local_1s_tight,5,1.5205251543641973,1.5127256666482627,1.5298092691033558,1.494079564414904,1.4902142596946735,1.4984904911963677,1.4279054718797075,1.3467121457981492,1.4654355538905655,0.04434640522875817,0.022058823529411766,0.0962962962962963,925.9845582834148,922.0127447419686,928.8688677690503,1.3107766666667158,1.2747499999999774,1.3533000000001187,0.9847210239651519,0.9224962962963353,1.0359093137254416,1.0,1.0,1.0,0.0,0.0,0.0,0.022124183006535948,0.022058823529411766,0.022222222222222223,0.977875816993464,0.9777777777777777,0.9779411764705882,0.82,0.762962962962963,0.8455882352941176,0.0,0.0,0.0,0.8201258478643485,0.7627635085794348,0.8447796055184543,0.0,0.0,0.0
1.5,contract-aware,local_5s_moderate,5,1.5205251543641973,1.5127256666482627,1.5298092691033558,1.494079564414904,1.4902142596946735,1.4984904911963677,1.4279054718797075,1.3467121457981492,1.4654355538905655,0.04434640522875817,0.022058823529411766,0.0962962962962963,925.9845582834148,922.0127447419686,928.8688677690503,1.3107766666667158,1.2747499999999774,1.3533000000001187,0.9847210239651519,0.9224962962963353,1.0359093137254416,1.0,1.0,1.0,0.0,0.0,0.0,0.022124183006535948,0.022058823529411766,0.022222222222222223,0.977875816993464,0.9777777777777777,0.9779411764705882,0.7580936819172114,0.7111111111111111,0.7925925925925926,0.08755162992587401,0.038461538461538464,0.19607843137254902,0.7579874020074976,0.7108680260811863,0.7923580340755296,0.08776345933718215,0.03878336581440219,0.19607843137254927
1.5,static-high,global_state_tracking,5,1.5205251543641973,1.5127256666482627,1.5298092691033558,1.494079564414904,1.4902142596946735,1.4984904911963677,1.4279054718797075,1.3467121457981492,1.4654355538905655,0.04434640522875817,0.022058823529411766,0.0962962962962963,925.9845582834148,922.0127447419686,928.8688677690503,1.3107766666667158,1.2747499999999774,1.3533000000001187,0.9847210239651519,0.9224962962963353,1.0359093137254416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8672331154684095,0.8296296296296296,0.8888888888888888,0.19326472962066182,0.09166666666666666,0.3389830508474576,0.8674984622774764,0.8294862717914689,0.8887632325404621,0.19394998022668117,0.09221109634802149,0.3414804886585785
1.5,static-high,local_10s_preview,5,1.5205251543641973,1.5127256666482627,1.5298092691033558,1.494079564414904,1.4902142596946735,1.4984904911963677,1.4279054718797075,1.3467121457981492,1.4654355538905655,0.04434640522875817,0.022058823529411766,0.0962962962962963,925.9845582834148,922.0127447419686,928.8688677690503,1.3107766666667158,1.2747499999999774,1.3533000000001187,0.9847210239651519,0.9224962962963353,1.0359093137254416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7123202614379085,0.6518518518518519,0.7279411764705882,0.35273139558853844,0.10204081632653061,0.6262626262626263,0.7120802215139868,0.651558903226045,0.7305060045379939,0.3543071409129906,0.10219985181021454,0.6307768220039371
