sequence,method,trace_id,family,horizon_s,position_tolerance_m,heading_tolerance_deg,n_windows,position_valid_fraction,joint_valid_fraction,heading_valid_fraction
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,5.0,0.1,20.0,27,0.1111111111111111,0.1111111111111111,0.8148148148148148
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,5.0,0.2,1.0,27,0.25925925925925924,0.07407407407407407,0.14814814814814814
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,5.0,0.2,2.0,27,0.25925925925925924,0.14814814814814814,0.3333333333333333
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,5.0,0.2,5.0,27,0.25925925925925924,0.18518518518518517,0.5185185185185185
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,5.0,0.2,10.0,27,0.25925925925925924,0.18518518518518517,0.7407407407407407
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,5.0,0.2,20.0,27,0.25925925925925924,0.2222222222222222,0.8148148148148148
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,5.0,0.5,1.0,27,0.7407407407407407,0.14814814814814814,0.14814814814814814
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,5.0,0.5,2.0,27,0.7407407407407407,0.2962962962962963,0.3333333333333333
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,5.0,0.5,5.0,27,0.7407407407407407,0.4444444444444444,0.5185185185185185
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,5.0,0.5,10.0,27,0.7407407407407407,0.5925925925925926,0.7407407407407407
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,5.0,0.5,20.0,27,0.7407407407407407,0.6666666666666666,0.8148148148148148
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,5.0,1.0,1.0,27,0.8518518518518519,0.14814814814814814,0.14814814814814814
ts_2022_06_09_13h16m39s_one_row,physics_only,physics_only,local_relative_motion,5.0,1.0,2.0,27,0.8518518518518519,0.2962962962962963,0.3333333333333333
