method,family,horizon_s,n_sequences,position_grid_average_validity_sequence_mean,position_grid_average_validity_sequence_median,joint_grid_average_validity_sequence_mean_secondary
frozen_v2_checkpoint,global_synchronization,0.0,5,0.08271870732156564,0.08585858585858586,0.04285213105503215
frozen_v2_checkpoint,local_relative_motion,1.0,5,0.7794030909677911,0.8061349693251533,0.588193986783702
frozen_v2_checkpoint,local_relative_motion,5.0,5,0.4210660800552105,0.4542857142857143,0.28612280940878765
frozen_v2_checkpoint,local_relative_motion,10.0,5,0.22962219302436693,0.27428571428571424,0.14600680363115145
physics_only,global_synchronization,0.0,5,0.08223825893284065,0.08529741863075196,0.04289515361344416
physics_only,local_relative_motion,1.0,5,0.7649701391289675,0.7683501683501683,0.5796992283359719
physics_only,local_relative_motion,5.0,5,0.4011128479411088,0.4074074074074074,0.27424678743961356
physics_only,local_relative_motion,10.0,5,0.21488447204968947,0.2,0.13433544194935498
