epoch,train_loss,train_mean_loss,train_nll,validation_loss,validation_mean_loss,validation_nll
1,0.33088414203893907,0.3288547706421668,-4.169554563181272,0.20819427371721944,0.29659320639964665,-4.499338032803495
2,0.21588423373686527,0.21437895853665206,-4.533381557689013,0.1866842445659009,0.27887459663051417,-4.67410104860111
3,0.2040579327714919,0.20295235352410812,-4.75722109067291,0.1784150038861081,0.2762032206866394,-4.934609749125765
4,0.19980016619392335,0.19902355142521766,-5.0055099624608586,0.17265759221040763,0.275659436864353,-5.181520493924386
5,0.1981828806484377,0.19766471581017836,-5.272719563099828,0.16616616383229765,0.27493941982393605,-5.458516013873153
6,0.06686017540316695,0.19871969744075738,-6.595249721390969,0.1404804129092515,0.275294553365962,-6.74071829528987
7,0.0590376598295518,0.19657483584730895,-6.876927651543915,0.13994232382936025,0.2750694973131501,-6.756359907508547
8,0.057914631391855605,0.1958921027894218,-6.898912219890455,0.1397179583332916,0.27493874686403563,-6.761039838545599
9,0.05695667283474036,0.1951632690249925,-6.910356692963526,0.13930652273567692,0.27460543984606783,-6.764946242411994
10,0.056538729902477255,0.19483900724418352,-6.915036642809549,0.13981989204117032,0.2750484926374927,-6.761430269688809
11,0.05598402921097444,0.1944584221841938,-6.92373774331205,0.13899122460375796,0.27435668886218884,-6.7682734334087895
12,0.05564780230415264,0.19414229132086266,-6.924740978098577,0.13912850634680535,0.27440413272506264,-6.763781464369336
13,0.05539092417510509,0.19394941895853396,-6.927937728501528,0.13996608325701992,0.27531113997856715,-6.767253116360886
14,0.055386618182652766,0.19397651279051892,-6.929506555600775,0.13853710050391946,0.2739070541221744,-6.768497796850286
15,0.054593308700515965,0.1932799376588996,-6.934344656245443,0.13844327477684545,0.2738402307858155,-6.769847967247432
16,0.054452792814443006,0.19317347439272292,-6.936042521176505,0.13848548937278246,0.27387654205736295,-6.769552836563099
17,0.05410009202088375,0.19285929140013705,-6.937968768170892,0.13854779407312326,0.27390270208067385,-6.767745463846255
18,0.053786241020336974,0.1926431196537746,-6.94285338124819,0.1392857817571468,0.27463274686971123,-6.767348377721345
19,0.05400867076791997,0.19280483849092983,-6.939816636018619,0.138548349790037,0.27395838632866076,-6.770501945879157
20,0.053535496996227616,0.19240117195785125,-6.943292087389731,0.13810481842627584,0.2735900943133391,-6.77426401875675
21,0.05328690337412821,0.192145497081968,-6.942937820821055,0.1389359950792808,0.27431287108249064,-6.768844041876373
22,0.05320113626682929,0.1921541673252304,-6.947664207838887,0.13847060072775103,0.27387129669182947,-6.770035897356778
23,0.05235049983649833,0.19156873084427647,-6.960936691432581,0.13742739472622437,0.2732282508074633,-6.790058639359865
24,0.05158903004276647,0.19124288935958922,-6.982764862533915,0.1367895730937354,0.27269843118388676,-6.795481504468554
25,0.05115357696270467,0.1909053506232464,-6.9876844908237326,0.13655581529472177,0.2726020328671507,-6.802356547298417
26,0.05054385549540846,0.19043284582847506,-6.994563670683493,0.13583206087815416,0.2721122869619242,-6.8140849854550325
27,0.04970488826546839,0.18979505339369548,-7.004652097258594,0.13534650314695093,0.2719071076888176,-6.828135260509868
28,0.04895870311232403,0.18938060391926168,-7.021264111315508,0.13394713688842133,0.27089586408107613,-6.847565942022453
29,0.048344431339688174,0.18906242452731226,-7.036113502782608,0.13460317547792397,0.2716435268521309,-6.852213707772996
30,0.047894657109227,0.1888405606708765,-7.047578866534127,0.13336088745415628,0.27066636658560367,-6.865481422064551
31,0.04710425256251908,0.18826671907840822,-7.058481139852187,0.13309016809599156,0.27077370618621727,-6.884528190496836
32,0.046972817247474714,0.18824022617360367,-7.063783820703166,0.1325983439439317,0.2703561929688264,-6.88834628501351
33,0.046373346728268296,0.18777375891236905,-7.070476713870459,0.13291747315568284,0.2706229346228686,-6.885656198559565
34,0.04632486215187833,0.18781480889861746,-7.074998428021654,0.13271342247538703,0.2704580885225316,-6.887619247495989
35,0.04585945825763326,0.18742223315463521,-7.0786570655370795,0.13187112233609496,0.26984074788570217,-6.8989953739793615
36,0.04557580961650889,0.1872334482608271,-7.0834106949542495,0.13242594861336174,0.27050438861617426,-6.904475979793843
37,0.045444148657492224,0.18710399407665257,-7.083554819415099,0.13245403611871384,0.2705355700915527,-6.904716434612556
38,0.044810481584024696,0.18658240939214263,-7.089155159549174,0.1315304068893496,0.2697480049411115,-6.911475515700093
39,0.04497668589516087,0.18677335224920383,-7.090415351906217,0.13262582990984756,0.2708135766924496,-6.910038333634148
40,0.044466977533474894,0.18630980065151193,-7.092741026717459,0.13172370221114493,0.2699334704622754,-6.9110146001457515
41,0.044637368788942255,0.18651603365052033,-7.094561606717,0.1315111242165021,0.26982044377251707,-6.916090128966262
42,0.043912780322181946,0.1858638624261228,-7.0981372539888135,0.13142551044619186,0.26969130172663525,-6.913944906753576
43,0.04429254463077471,0.18622842619419921,-7.097401854159164,0.13159947211237877,0.2699908669489209,-6.920268226320262
44,0.04411061542141106,0.18605743152815862,-7.097964687814357,0.13175972989663795,0.27016487025415536,-6.920931377247359
45,0.04369228723107114,0.18569927330124766,-7.1009505398365445,0.131021863136757,0.2695357415735118,-6.926406219390251
46,0.04329411006178928,0.18532713488185373,-7.102284030395891,0.13146984755923202,0.2699225980617158,-6.9233636121682975
47,0.042923052866385904,0.18500024536051735,-7.104505482991509,0.13077065781780917,0.26936700342343545,-6.930490530717215
48,0.042646393262890395,0.18476164562362316,-7.106424885379205,0.13126642373060213,0.2698156383361839,-6.928114261983989
49,0.042371755747547944,0.1845337360214609,-7.108745658416462,0.13174190507477276,0.270300278410211,-6.928580235580124
