family,horizon_s,position_tolerance_m,heading_tolerance_deg,parking00,parking02,parking02_minus_parking00,winner
global_synchronization,0.0,0.5,2.0,0.0114035087719298,0.0023885350318471,-0.009014973740082699,parking00
global_synchronization,0.0,0.5,5.0,0.0114035087719298,0.0023885350318471,-0.009014973740082699,parking00
global_synchronization,0.0,0.5,10.0,0.0114035087719298,0.0023885350318471,-0.009014973740082699,parking00
global_synchronization,0.0,0.5,20.0,0.0114035087719298,0.0023885350318471,-0.009014973740082699,parking00
global_synchronization,0.0,0.5,30.0,0.0114035087719298,0.0023885350318471,-0.009014973740082699,parking00
global_synchronization,0.0,0.5,45.0,0.0114035087719298,0.0023885350318471,-0.009014973740082699,parking00
global_synchronization,0.0,1.0,2.0,0.019298245614035,0.0087579617834394,-0.010540283830595598,parking00
global_synchronization,0.0,1.0,5.0,0.0219298245614035,0.0087579617834394,-0.0131718627779641,parking00
global_synchronization,0.0,1.0,10.0,0.0219298245614035,0.0087579617834394,-0.0131718627779641,parking00
global_synchronization,0.0,1.0,20.0,0.0219298245614035,0.0087579617834394,-0.0131718627779641,parking00
global_synchronization,0.0,1.0,30.0,0.0219298245614035,0.0087579617834394,-0.0131718627779641,parking00
global_synchronization,0.0,1.0,45.0,0.0219298245614035,0.0087579617834394,-0.0131718627779641,parking00
global_synchronization,0.0,2.0,2.0,0.4192982456140351,0.0230891719745222,-0.3962090736395129,parking00
global_synchronization,0.0,2.0,5.0,0.4280701754385965,0.0342356687898089,-0.3938345066487876,parking00
global_synchronization,0.0,2.0,10.0,0.4280701754385965,0.0477707006369426,-0.3802994748016539,parking00
global_synchronization,0.0,2.0,20.0,0.4280701754385965,0.0517515923566879,-0.3763185830819086,parking00
global_synchronization,0.0,2.0,30.0,0.4280701754385965,0.0581210191082802,-0.3699491563303163,parking00
global_synchronization,0.0,2.0,45.0,0.4280701754385965,0.0581210191082802,-0.3699491563303163,parking00
global_synchronization,0.0,5.0,2.0,0.9324561403508772,0.0230891719745222,-0.909366968376355,parking00
global_synchronization,0.0,5.0,5.0,0.9973684210526316,0.1098726114649681,-0.8874958095876635,parking00
global_synchronization,0.0,5.0,10.0,0.9973684210526316,0.2253184713375796,-0.7720499497150519,parking00
global_synchronization,0.0,5.0,20.0,0.9973684210526316,0.3511146496815286,-0.646253771371103,parking00
global_synchronization,0.0,5.0,30.0,0.9973684210526316,0.3670382165605095,-0.6303302044921221,parking00
global_synchronization,0.0,5.0,45.0,0.9973684210526316,0.3670382165605095,-0.6303302044921221,parking00
global_synchronization,0.0,10.0,2.0,0.9324561403508772,0.0230891719745222,-0.909366968376355,parking00
global_synchronization,0.0,10.0,5.0,1.0,0.1098726114649681,-0.8901273885350319,parking00
global_synchronization,0.0,10.0,10.0,1.0,0.2587579617834395,-0.7412420382165605,parking00
global_synchronization,0.0,10.0,20.0,1.0,0.5342356687898089,-0.4657643312101911,parking00
global_synchronization,0.0,10.0,30.0,1.0,0.6019108280254777,-0.3980891719745223,parking00
global_synchronization,0.0,10.0,45.0,1.0,0.6019108280254777,-0.3980891719745223,parking00
global_synchronization,0.0,20.0,2.0,0.9324561403508772,0.0230891719745222,-0.909366968376355,parking00
global_synchronization,0.0,20.0,5.0,1.0,0.1098726114649681,-0.8901273885350319,parking00
global_synchronization,0.0,20.0,10.0,1.0,0.2587579617834395,-0.7412420382165605,parking00
global_synchronization,0.0,20.0,20.0,1.0,0.6090764331210191,-0.3909235668789809,parking00
global_synchronization,0.0,20.0,30.0,1.0,0.8678343949044586,-0.13216560509554143,parking00
global_synchronization,0.0,20.0,45.0,1.0,0.9148089171974524,-0.08519108280254761,parking00
local_relative_motion,1.0,0.05,1.0,0.936842105263158,0.9721337579617836,0.03529165269862555,parking02
local_relative_motion,1.0,0.05,2.0,0.936842105263158,0.9737261146496816,0.036884009386523586,parking02
local_relative_motion,1.0,0.05,5.0,0.936842105263158,0.9737261146496816,0.036884009386523586,parking02
local_relative_motion,1.0,0.05,10.0,0.936842105263158,0.9737261146496816,0.036884009386523586,parking02
local_relative_motion,1.0,0.05,20.0,0.936842105263158,0.9737261146496816,0.036884009386523586,parking02
local_relative_motion,1.0,0.1,1.0,0.974561403508772,0.9952229299363056,0.020661526427533605,parking02
local_relative_motion,1.0,0.1,2.0,0.974561403508772,0.9968152866242038,0.02225388311543186,parking02
local_relative_motion,1.0,0.1,5.0,0.974561403508772,0.9968152866242038,0.02225388311543186,parking02
local_relative_motion,1.0,0.1,10.0,0.974561403508772,0.9968152866242038,0.02225388311543186,parking02
local_relative_motion,1.0,0.1,20.0,0.974561403508772,0.9968152866242038,0.02225388311543186,parking02
local_relative_motion,1.0,0.2,1.0,0.9903508771929824,0.998407643312102,0.00805676611911954,parking02
local_relative_motion,1.0,0.2,2.0,0.9903508771929824,1.0,0.009649122807017574,parking02
local_relative_motion,1.0,0.2,5.0,0.9903508771929824,1.0,0.009649122807017574,parking02
local_relative_motion,1.0,0.2,10.0,0.9903508771929824,1.0,0.009649122807017574,parking02
local_relative_motion,1.0,0.2,20.0,0.9903508771929824,1.0,0.009649122807017574,parking02
local_relative_motion,1.0,0.5,1.0,0.993859649122807,0.998407643312102,0.004547994189294968,parking02
local_relative_motion,1.0,0.5,2.0,0.9947368421052633,1.0,0.0052631578947367474,parking02
local_relative_motion,1.0,0.5,5.0,0.9947368421052633,1.0,0.0052631578947367474,parking02
local_relative_motion,1.0,0.5,10.0,0.9947368421052633,1.0,0.0052631578947367474,parking02
local_relative_motion,1.0,0.5,20.0,0.9947368421052633,1.0,0.0052631578947367474,parking02
