family,horizon_s,baseline_metric,median_kendall_tau,min_kendall_tau,max_kendall_tau,n_grid_points
global_synchronization,0.0,ate_m,0.7076303701373625,0.4472135954999579,0.9888264649460883,36
global_synchronization,0.0,dp_p95_m,0.6888888888888888,0.4472135954999579,0.8539864924534399,36
global_synchronization,0.0,dtheta_p95_deg,0.5555555555555555,0.4472135954999579,0.9888264649460883,36
global_synchronization,0.0,heading_mae_deg,0.5555555555555555,0.4472135954999579,0.9438798074485389,36
global_synchronization,0.0,rpe10_m,0.15096672155092472,-0.39770583933420295,0.35957325998039574,36
global_synchronization,0.0,rpe1_m,0.24505153770364269,-0.32539568672798425,0.40451991747794525,36
global_synchronization,0.0,rpe5_m,0.19870771315355357,-0.39770583933420295,0.35957325998039574,36
local_relative_motion,1.0,ate_m,0.19999999999999998,0.1111111111111111,0.3042903097250923,25
local_relative_motion,1.0,dp_p95_m,0.24444444444444444,0.06666666666666667,0.3275692099413302,25
local_relative_motion,1.0,dtheta_p95_deg,0.17638342073763935,0.060858061945018464,0.3146266024828463,25
local_relative_motion,1.0,heading_mae_deg,0.22677868380553634,0.0,0.35957325998039574,25
local_relative_motion,1.0,rpe10_m,0.7777777777777777,0.4222222222222222,0.8666666666666666,25
local_relative_motion,1.0,rpe1_m,0.6922443782381184,0.37777777777777777,0.7333333333333333,25
local_relative_motion,1.0,rpe5_m,0.6888888888888888,0.4222222222222222,0.7777777777777777,25
local_relative_motion,5.0,ate_m,0.2771739468734333,0.19999999999999998,0.5555555555555555,25
local_relative_motion,5.0,dp_p95_m,0.3146266024828463,0.10886621079036346,0.5111111111111111,25
local_relative_motion,5.0,dtheta_p95_deg,0.26967994498529685,0.1632993161855452,0.4666666666666666,25
local_relative_motion,5.0,heading_mae_deg,0.28888888888888886,0.10886621079036346,0.37777777777777777,25
local_relative_motion,5.0,rpe10_m,0.7360699299651778,0.5111111111111111,0.8666666666666666,25
local_relative_motion,5.0,rpe1_m,0.7076303701373625,0.5555555555555555,0.7333333333333333,25
local_relative_motion,5.0,rpe5_m,0.6741998624632421,0.6,0.7777777777777777,25
local_relative_motion,10.0,ate_m,0.3333333333333333,0.21773242158072692,0.6444444444444444,25
local_relative_motion,10.0,dp_p95_m,0.3333333333333333,0.2721655269759087,0.5111111111111111,25
local_relative_motion,10.0,dtheta_p95_deg,0.28888888888888886,0.21773242158072692,0.4666666666666666,25
local_relative_motion,10.0,heading_mae_deg,0.28888888888888886,0.24444444444444444,0.37777777777777777,25
local_relative_motion,10.0,rpe10_m,0.7620634755325442,0.37777777777777777,0.8666666666666666,25
local_relative_motion,10.0,rpe1_m,0.6531972647421808,0.4222222222222222,0.7360699299651778,25
local_relative_motion,10.0,rpe5_m,0.6888888888888888,0.4666666666666666,0.7777777777777777,25
