local_horizon_s,sequence_a,sequence_b,local_score_difference_a_minus_b,global_score_difference_a_minus_b,ordering
10.0,building00,parking00,-0.07568421052631591,0.06471125730994154,inversion
10.0,building00,parking01,-0.0627619047619048,0.17663971514006926,inversion
10.0,building00,parking02,-0.29879999999999995,0.4492827022882756,inversion
10.0,building00,playground00,-0.2653333333333333,-0.3646990740740741,concordant
10.0,building00,street00,-0.25178102189781015,-0.35183187329718646,concordant
10.0,building00,street01,-0.17812903225806453,-0.3200943732193732,concordant
10.0,building00,street02,-0.13849635036496355,-0.3073104671930815,concordant
10.0,building01,building02,0.013930481283422558,-0.2065496602845872,inversion
10.0,building01,parking00,-0.005743034055727625,0.10019899285250167,inversion
10.0,building01,parking01,0.007179271708683488,0.2121274506826294,concordant
10.0,building01,parking02,-0.22885882352941167,0.48477043783083573,inversion
10.0,building01,playground00,-0.19539215686274503,-0.32921133853151396,concordant
10.0,building01,street00,-0.18183984542722187,-0.31634413775462633,concordant
10.0,building01,street01,-0.10818785578747625,-0.28460663767681305,concordant
10.0,building01,street02,-0.06855517389437527,-0.2718227316505214,concordant
10.0,building02,parking00,-0.019673515339150183,0.3067486531370889,inversion
10.0,building02,parking01,-0.00675120957473907,0.4186771109672166,inversion
10.0,building02,parking02,-0.24278930481283423,0.6913200981154229,inversion
10.0,building02,playground00,-0.20932263814616758,-0.12266167824692675,concordant
10.0,building02,street00,-0.19577032671064443,-0.10979447747003912,concordant
10.0,building02,street01,-0.12211833707089881,-0.07805697739222583,concordant
10.0,building02,street02,-0.08248565517779782,-0.06527307136593419,concordant
10.0,parking00,parking01,0.012922305764411113,0.11192845783012773,concordant
10.0,parking00,parking02,-0.22311578947368405,0.38457144497833406,inversion
10.0,parking00,playground00,-0.1896491228070174,-0.42941033138401563,concordant
10.0,parking00,street00,-0.17609681137149424,-0.416543130607128,concordant
10.0,parking00,street01,-0.10244482173174863,-0.3848056305293147,concordant
10.0,parking00,street02,-0.06281213983864764,-0.37202172450302307,concordant
10.0,parking01,parking02,-0.23603809523809516,0.27264298714820634,inversion
10.0,parking01,playground00,-0.2025714285714285,-0.5413387892141434,concordant
10.0,parking01,street00,-0.18901911713590536,-0.5284715884372557,concordant
10.0,parking01,street01,-0.11536712749615974,-0.49673408835944244,concordant
10.0,parking01,street02,-0.07573444560305875,-0.4839501823331508,concordant
10.0,parking02,playground00,0.033466666666666645,-0.8139817763623497,inversion
10.0,parking02,street00,0.0470189781021898,-0.8011145755854621,inversion
10.0,parking02,street01,0.12067096774193542,-0.7693770755076488,inversion
10.0,parking02,street02,0.1603036496350364,-0.7565931694813571,inversion
10.0,playground00,street00,0.013552311435523157,0.012867200776887633,concordant
10.0,playground00,street01,0.08720430107526878,0.04460470085470092,concordant
10.0,playground00,street02,0.12683698296836976,0.057388606880992565,concordant
10.0,street00,street01,0.07365198963974562,0.031737500077813285,concordant
10.0,street00,street02,0.1132846715328466,0.04452140610410493,concordant
10.0,street01,street02,0.039632681893100985,0.012783906026291647,concordant
