family,horizon_s,position_tolerance_m,heading_tolerance_deg,baseline_metric,kendall_tau_service_pass_vs_negative_error
global_synchronization,0.0,1.0,30.0,dtheta_p95_deg,0.501280411827603
global_synchronization,0.0,1.0,45.0,ate_m,0.6922443782381184
global_synchronization,0.0,1.0,45.0,rpe1_m,0.35805743701971643
global_synchronization,0.0,1.0,45.0,rpe5_m,0.3103164454170875
global_synchronization,0.0,1.0,45.0,rpe10_m,0.3103164454170875
global_synchronization,0.0,1.0,45.0,dp_p95_m,0.6445033866354896
global_synchronization,0.0,1.0,45.0,heading_mae_deg,0.5490214034302319
global_synchronization,0.0,1.0,45.0,dtheta_p95_deg,0.501280411827603
global_synchronization,0.0,2.0,2.0,ate_m,0.9888264649460883
global_synchronization,0.0,2.0,2.0,rpe1_m,0.35957325998039574
global_synchronization,0.0,2.0,2.0,rpe5_m,0.3146266024828463
global_synchronization,0.0,2.0,2.0,rpe10_m,0.22473328748774735
global_synchronization,0.0,2.0,2.0,dp_p95_m,0.8539864924534399
global_synchronization,0.0,2.0,2.0,heading_mae_deg,0.7640931774583409
global_synchronization,0.0,2.0,2.0,dtheta_p95_deg,0.8090398349558905
global_synchronization,0.0,2.0,5.0,ate_m,0.9309493362512627
global_synchronization,0.0,2.0,5.0,rpe1_m,0.3103164454170875
global_synchronization,0.0,2.0,5.0,rpe5_m,0.26257545381445874
global_synchronization,0.0,2.0,5.0,rpe10_m,0.167093470609201
global_synchronization,0.0,2.0,5.0,dp_p95_m,0.7877263614433762
global_synchronization,0.0,2.0,5.0,heading_mae_deg,0.6922443782381184
global_synchronization,0.0,2.0,5.0,dtheta_p95_deg,0.7399853698407473
global_synchronization,0.0,2.0,10.0,ate_m,0.9309493362512627
global_synchronization,0.0,2.0,10.0,rpe1_m,0.3103164454170875
global_synchronization,0.0,2.0,10.0,rpe5_m,0.26257545381445874
global_synchronization,0.0,2.0,10.0,rpe10_m,0.167093470609201
global_synchronization,0.0,2.0,10.0,dp_p95_m,0.7877263614433762
global_synchronization,0.0,2.0,10.0,heading_mae_deg,0.6922443782381184
